disclosure_date,code,company_name,title
2026-08-03,23880,Ｇ－ウェッジＨＤ,子会社株式の取得及び売却に係る会計処理の変更並びに開示内容の一部訂正に関するお知らせ
2026-08-03,24110,ゲンダイＡＧ,自己株式の取得状況に関するお知らせ
2026-08-03,24130,エムスリー,自己株式の取得状況に関するお知らせ (会社法第459条第1項の規定による定款の定めに基づく自己株式の取得)
2026-08-03,24320,ディーエヌエー,内部統制システムに関する基本方針の一部改定に関するお知らせ
2026-08-03,24360,共同ＰＲ,自己株式の取得状況及び取得終了に関するお知らせ （会社法459 条第１項の規定による定款の定めに基づく自己株式の取得）
2026-08-03,24400,ぐるなび,2027年3月期第1四半期決算短信〔日本基準〕（連結）
2026-08-03,24400,ぐるなび,2027年3月期 第1四半期決算説明会資料
2026-08-03,24770,手間いらず,自己株式の取得状況に関するお知らせ
2026-08-03,24970,Ｇ－ＵＮＩＴＥＤ,2027年３月期第１四半期決算短信〔日本基準〕(連結)
2026-08-03,24970,Ｇ－ＵＮＩＴＥＤ,2027年３月期第１四半期決算説明資料
2026-08-03,25510,マルサンアイ,2026年９月期第３四半期決算短信〔日本基準〕(連結)
2026-08-03,25860,Ｇ－フルッタフルッタ,第三者割当による第14回新株予約権（行使価額修正条項付）の月間行使状況に関するお知らせ
2026-08-03,26120,かどや製油,2027年３月期 第１四半期決算短信〔日本基準〕（連結）
2026-08-03,26120,かどや製油,2027年３月期 第１四半期決算補足説明資料
2026-08-03,26130,Ｊオイル,監査役の辞任に関するお知らせ
2026-08-03,26590,サンエー,自己株式の取得状況に関するお知らせ
2026-08-03,26640,カワチ薬品,自己株式取得に係る事項の決定に関するお知らせ
2026-08-03,26780,アスクル,その他の関係会社の決算に関するお知らせ
2026-08-03,27210,ＪＨＤ,第三者割当により発行された第10回新株予約権（行使価額修正条項付）の月間行使状況に関するお知らせ
2026-08-03,27260,パルグループＨＤ,（開示事項の経過）自己株式の取得状況に関するお知らせ
2026-08-03,27620,ＳＡＮＫＯ ＭＦ,第三者割当により発行された第３回無担保転換社債型新株予約権付社債及び第８回新株予約権の月間転換・行使状況に関するお知らせ
2026-08-03,278A0,Ｇ－テラドローン,第18回新株予約権乃至第22回新株予約権（行使価額修正条項付）の月間行使状況に関するお知らせ
2026-08-03,28090,キユーピー,自己株式の取得状況(途中経過)に関するお知らせ
2026-08-03,28160,ダイショー,2027年３月期 第１四半期決算短信〔日本基準〕(非連結)
2026-08-03,281A0,Ｇ－インフォメティス,第三者割当によるインフォメティス株式会社 第10回新株予約権（行使価額修正条項付）の月間行使状況に関するお知らせ
2026-08-03,285A0,キオクシアＨＤ,当社子会社に対する訴訟の判決に関するお知らせ
2026-08-03,286A0,Ｇ－ユカリア,自己株式の取得状況に関するお知らせ
2026-08-03,28750,東洋水産,自己株式の取得状況に関するお知らせ
2026-08-03,28820,イートアンドＨＤ,第三者割当により発行される第９回新株予約権の払込完了に関するお知らせ
2026-08-03,29020,太陽化,2027年3月期 第1四半期決算短信[日本基準](連結)
2026-08-03,29070,あじかん,業績予想の修正に関するお知らせ
2026-08-03,29070,あじかん,2027年3月期第1四半期決算短信〔日本基準〕（連結）
2026-08-03,29240,イフジ産業,2027年３月期 第１四半期決算短信〔日本基準〕（連結）
2026-08-03,29340,Ｇ－Ｊフロンティア,楽天グループ株式会社との包括的業務提携に向けた基本合意に関するお知らせ
2026-08-03,30030,ヒューリック,株式会社ナカボーテック（証券コード：1787）株式の買集め行為に該当する株式取得についてのお知らせ
2026-08-03,30660,ＪＢイレブン,第三者割当による第７回新株予約権及び第８回新株予約権 （行使価額修正型新株予約権への転換権付）の月間行使状況に関するお知らせ
2026-08-03,30760,あいＨＤ,従業員持株会を通じた譲渡制限付株式付与のための第三者割当による自己株式の処分の払込完了及び一部失権に関するお知らせ
2026-08-03,30990,ミツコシイセタン,自己株式の取得状況（途中経過）に関するお知らせ
2026-08-03,31060,クラボウ,自己株式の取得状況に関するお知らせ
2026-08-03,31070,ダイワボＨＤ,自己株式の取得状況に関するお知らせ
2026-08-03,31210,マーチャント,自己株式取得に係る事項の進捗状況に関するお知らせ
2026-08-03,31510,バイタルＫＳＫ,自己株式の取得状況に関するお知らせ
2026-08-03,31570,ジオリーブグループ,従業員向けインセンティブ・プランの導入に関するお知らせ
2026-08-03,31570,ジオリーブグループ,従業員向けインセンティブ・プランに係る自己株式の処分に関するお知らせ
2026-08-03,31570,ジオリーブグループ,2027年３月期 第１四半期決算短信〔日本基準〕(連結)
2026-08-03,31740,ハピネス＆Ｄ,第三者割当により発行された第14回新株予約権（行使価額修正条項付）の月間行使状況に関するお知らせ
2026-08-03,31760,三洋貿易,自己株式取得に係る事項の決定および自己株式消却に係る事項の決定に関するお知らせ
2026-08-03,31760,三洋貿易,配当予想の修正（80周年記念配当）に関するお知らせ
2026-08-03,31760,三洋貿易,株主優待制度の導入に関するお知らせ
2026-08-03,31820,オイシックス,業績予想の修正及び配当予想の修正（増配）に関するお知らせ
2026-08-03,31890,ＡＮＡＰ,第三者割当により発行された第９回新株予約権（行使価額修正条項付）の 月間行使状況に関するお知らせ
2026-08-03,31910,ジョイフル本田,「内部統制システムの基本方針」の一部改定に関するお知らせ
2026-08-03,31910,ジョイフル本田,当社取締役会の実効性に関する自己評価結果（概要）に関するお知らせ
2026-08-03,31910,ジョイフル本田,剰余金の配当（増配）および次期配当予想に関するお知らせ
2026-08-03,31910,ジョイフル本田,2026年6月期 決算説明会資料
2026-08-03,31910,ジョイフル本田,2026年6月期 決算短信〔日本基準〕（連結）
2026-08-03,32020,ダイトウボウ,2027年３月期 第１四半期決算短信〔日本基準〕(連結)
2026-08-03,32760,ＪＰＭＣ,ＭＢＯの実施及び応募の推奨に関するお知らせ
2026-08-03,32760,ＪＰＭＣ,株式会社Amsterdam1及び株式会社Amsterdam2による株式会社ＪＰＭＣ（証券コード：3276）の普通株式に対する公開買付けの開始に関するお知らせ
2026-08-03,32760,ＪＰＭＣ,2026年12月期の中間配当及び期末配当予想の修正（無配）に関するお知らせ
2026-08-03,32760,ＪＰＭＣ,2026年12月期 第２四半期（中間期）決算速報値（連結）に関するお知らせ
2026-08-03,32760,ＪＰＭＣ,（変更）「譲渡制限付株式としての自己株式の処分に関するお知らせ」の一部変更に関するお知らせ
2026-08-03,32810,Ｒ－ＧＬＰ,自己投資口の取得状況に関するお知らせ
2026-08-03,32830,Ｒ－プロロジ,国内不動産信託受益権の取得及び譲渡完了に関するお知らせ
2026-08-03,32880,オープンハウスＧ,自己株式の取得状況に関するお知らせ
2026-08-03,33290,東和フード,2026年7月度売上高速報（前期対比）
2026-08-03,33330,あさひ,2026年7月度 月次営業速報に関するお知らせ
2026-08-03,33490,コスモス薬品,役員人事に関するお知らせ
2026-08-03,33500,メタプラネット,自己株式の取得状況に関するお知らせ
2026-08-03,33500,メタプラネット,第三者割当により発行された第27回新株予約権（行使価額修正条項、mNAV条項、下限行使価額修正条項及び行使停止条項付）の月間行使状況に関するお知らせ
2026-08-03,33550,クリヤマＨＤ,2026年12月期第２四半期（中間期）連結業績予想の修正に関するお知らせ
2026-08-03,33710,ソフトクリエＨＤ,2027年３月期 第１四半期決算短信〔日本基準〕（連結）
2026-08-03,33820,７＆ｉＨＤ,自己株式立会外買付取引（ToSTNeT-3）による自己株式の取得結果及び取得終了に関するお知らせ
2026-08-03,33820,７＆ｉＨＤ,（開示事項の経過）自己株式立会外買付取引（ToSTNeT-3）による自己株式の買付け並びに第三者割当による新株予約権の発行に関するお知らせ
2026-08-03,34070,旭化成,自己株式の取得状況に関するお知らせ
2026-08-03,34430,川田ＴＥＣＨ,自己株式の取得状況に関するお知らせ
2026-08-03,34760,Ｒ－投資法人みらい,国内不動産信託受益権の取得に関するお知らせ（ランドーホテル京都スイーツ）
2026-08-03,34760,Ｒ－投資法人みらい,資金の借入に関するお知らせ
2026-08-03,34760,Ｒ－投資法人みらい,本日公表のプレスリリースに関する補足説明資料
2026-08-03,34790,Ｇ－ＴＫＰ,自己株式の取得状況に関するお知らせ
2026-08-03,35290,アツギ,連結子会社における人員削減実施および特別損失の計上見込みに関するお知らせ
2026-08-03,35510,ダイニック,自己株式の取得状況（途中経過）に関するお知らせ
2026-08-03,35560,Ｇ－リネットジャパン,第25回新株予約権（行使価額修正条項付）の月間行使状況に関するお知らせ
2026-08-03,35570,Ｇ－Ｕ＆Ｃ,2026年７月度 月次報告
2026-08-03,35690,セーレン,自己株式取得状況に関するお知らせ
2026-08-03,35690,セーレン,2027年３月期 第１四半期決算短信〔日本基準〕(連結)
2026-08-03,35800,小松マテーレ,自己株式の取得状況に関するお知らせ
2026-08-03,36410,パピレス,自己株式の取得状況に関するお知らせ
2026-08-03,36590,ネクソン,自己株式の取得状況および取得終了に関するお知らせ(会社法第165条第2項の規定による定款の定めに基づく自己株式の取得)
2026-08-03,36640,Ｇ－ＷＩＺＥ,第三者割当により発行された第39回新株予約権（行使価額修正条項付）の月間行使状況に関するお知らせ
2026-08-03,36670,ｅｎｉｓｈ,第三者割当により発行された第22回新株予約権（行使価額修正条項付）の月間行使状況に関するお知らせ
2026-08-03,36730,ブロドリーフ,第２四半期（中間期）連結業績予想の修正に関するお知らせ
2026-08-03,372A0,レント,2026年５月期 決算説明会における質疑応答集
2026-08-03,372A0,レント,2026年５月期 決算説明会資料
2026-08-03,37580,アエリア,自己株式の取得状況に関するお知らせ
2026-08-03,37630,プロシップ,譲渡制限付株式報酬としての自己株式処分の払込完了及び一部失権に関するお知らせ
2026-08-03,37720,ウェルス,不動産STOの組成にともなう不動産信託受益権の譲渡ならびにAM契約に関するお知らせ
2026-08-03,37730,Ｇ－ＡＭＩ,自己株式の取得状況に関するお知らせ
2026-08-03,37750,ガイアックス,自己株式の取得状況に関するお知らせ
2026-08-03,37790,Ｊ・エスコムＨＤ,K-POP関連事業における基本合意書の締結及び連結子会社における共同事業契約締結のお知らせ
2026-08-03,38230,ＷＨＹ ＨＯＷ ＤＯ,第三者割当による第16回新株予約権(行使価額修正条項付)の月間行使状況に関するお知らせ
2026-08-03,39050,Ｇ－データセクション,訴訟提起に関するお知らせ
2026-08-03,39080,コラボス,2027年３月期 第１四半期決算短信〔日本基準〕（非連結）
2026-08-03,39110,Ｇ－Ａｉｍｉｎｇ,（訂正）「2026年12月期 第２四半期（中間期）決算短信〔日本基準〕(連結)」の一部訂正のお知らせ
2026-08-03,39140,Ｇ－ＪＩＧ－ＳＡＷ,2026年12月期 第２四半期（中間期）決算短信〔日本基準〕(連結)
2026-08-03,39350,エディア,自己株式の取得状況に関するお知らせ
2026-08-03,39510,朝日印刷,自己株式の取得状況に関するお知らせ
2026-08-03,39700,イノベーション,第三者割当による第８回及び第９回新株予約権（行使価額修正条項付）の月間行使状況に関するお知らせ
2026-08-03,39790,Ｇ－うるる,自己株式の取得状況に関するお知らせ
2026-08-03,40050,住友化,株式交換により増加する「資本準備金」の額の減少および 「その他資本剰余金」への振替の額の確定に関するお知らせ
2026-08-03,40260,神島化学工業,譲渡制限付株式報酬としての自己株式処分の払込完了に関するお知らせ
2026-08-03,40460,大阪ソーダ,自己株式の取得状況に関するお知らせ
2026-08-03,40740,Ｇ－ラキール,自己株式の取得状況に関するお知らせ
2026-08-03,40780,堺化学,自己株式の取得状況に関するお知らせ（会社法第459条第1項の規定による定款の定めに基づく自己株式の取得）
2026-08-03,40880,エア・ウォーター,（開示事項の追加）「過年度の有価証券報告書等の訂正報告書の提出および過年度の決算短信等の訂正に関するお知らせ」の一部追加について
2026-08-03,40930,東邦アセチレン,譲渡制限付株式報酬としての自己株式の処分の払込完了に関するお知らせ
2026-08-03,40950,日パーカライ,自己株式の取得状況に関するお知らせ （会社法第165条第２項の規定による定款の定めに基づく自己株式の取得）
2026-08-03,41180,カネカ,自己株式の取得状況に関するお知らせ
2026-08-03,41510,協和キリン,2026年12月期 第２四半期（中間期）決算短信〔IFRS〕（連結）
2026-08-03,41510,協和キリン,決算短信補足資料 -2026年12月期 第2四半期（中間期）決算-
2026-08-03,42030,住友ベーク,2027年3月期 第1四半期決算短信〔IFRS〕（連結）
2026-08-03,42030,住友ベーク,2027年3月期 第1四半期決算説明資料
2026-08-03,42460,ＤＮＣ,自己株式の取得状況に関するお知らせ
2026-08-03,42640,Ｇ－セキュア,譲渡制限付株式報酬としての新株式の払込完了に関するお知らせ
2026-08-03,42720,日化薬,2027年３月期 第１四半期決算短信〔日本基準〕(連結)
2026-08-03,42720,日化薬,業績予想の修正に関するお知らせ
2026-08-03,42870,ジャストプラ,自己株式の取得状況に関するお知らせ
2026-08-03,43230,日本システム技術,自己株式の取得状況に関するお知らせ
2026-08-03,43880,エーアイ,自己株式取得状況に関するお知らせ
2026-08-03,43940,Ｇ－エクスモーション,人事異動に関するお知らせ
2026-08-03,43960,システムサポートＨＤ,配当予想の修正（増配）に関するお知らせ
2026-08-03,44450,Ｇ－リビンＴ,自己株式の取得状況に関するお知らせ
2026-08-03,45070,塩野義薬,2027年３月期第１四半期決算短信〔ＩＦＲＳ〕（連結）
2026-08-03,45070,塩野義薬,2027年3月期 第1四半期決算 補足資料
2026-08-03,45070,塩野義薬,2026年度第1四半期決算および HIV事業に関するアップデート説明資料
2026-08-03,45230,エーザイ,2027年3月期 第1四半期決算短信〔IFRS〕(連結)
2026-08-03,45230,エーザイ,2026年度（2027年3月期）第1四半期決算 参考資料
